Close,RSI_14,MACD,ATR,Bollinger_Width,Target,Date
1443.515869140625,47.31146134609665,5.91094413213159,40.042915955263865,0.07119329936591758,1430.88427734375,2024-06-21
1430.88427734375,42.55415549195945,3.912380507550324,35.26400307335842,0.07012883792527794,1443.46630859375,2024-06-24
1443.46630859375,48.50526721631326,3.288941273679029,25.614007527649328,0.06975003568359125,1502.9013671875,2024-06-25
1502.9013671875,67.0886568964064,7.429802468702064,27.514223636256833,0.07879171932403037,1519.304931640625,2024-06-26
1519.304931640625,70.48105209964277,11.877972020848802,28.12045407938209,0.08972104969303388,1553.89892578125,2024-06-27
1553.89892578125,76.40042174445502,17.94908018404044,28.471429114521534,0.10627597819661012,1548.6875,2024-06-28
1548.6875,73.82709964301934,22.089256085471334,28.361524883255324,0.11649498289967572,1553.6756591796875,2024-07-01
1553.6756591796875,74.765784590674,25.47354710351533,28.184265455931886,0.12697712182125265,1541.019287109375,2024-07-02
1541.019287109375,67.66140955713578,26.835024164715833,28.992570254484026,0.12316055239504076,1542.6075439453125,2024-07-03
1542.6075439453125,68.10031282530531,27.720699076806568,29.3151772810507,0.12206834195171726,1576.9532470703125,2024-07-04
1576.9532470703125,76.1702034455149,30.81282804397142,31.304023026460577,0.12809659799780868,1589.13818359375,2024-07-05
1589.13818359375,78.4063769908677,33.847278934289534,32.02901248091549,0.13929144012358213,1578.5911865234375,2024-07-08
1578.5911865234375,71.68770684167768,35.003486108027346,31.241986509356725,0.14534742199817158,1572.5855712890625,2024-07-09
1572.5855712890625,67.86680464294221,35.03429692574446,31.3554306704922,0.14629989186184925,1569.036865234375,2024-07-10
1569.036865234375,65.48702405322369,34.377572275746616,31.328841688266866,0.145824255480971,1584.9937744140625,2024-07-11
1584.9937744140625,70.79949461577397,34.735893121884146,32.31794702707051,0.14619626575054376,1585.4901123046875,2024-07-12
1585.4901123046875,70.95992566201654,34.65975270435388,32.70259488007586,0.14656156042821283,1564.669189453125,2024-07-15
1564.669189453125,56.05356194181772,32.55274624116851,29.655506679595224,0.14356570583140615,1575.0177001953125,2024-07-16
1575.0177001953125,60.77862067708959,31.352230517722546,29.979896859976538,0.13571786119213555,1543.7242431640625,2024-07-18
1543.7242431640625,44.19775125448757,27.56927685173605,29.038642907148397,0.1275788928456329,1489.6495361328125,2024-07-19
1489.6495361328125,28.626738298359555,19.995885512687664,31.31819853429077,0.11731264466591071,1476.96826171875,2024-07-22
1476.96826171875,26.135244072489215,12.826983466640286,33.17942261500131,0.10382507011222034,1484.7109375,2024-07-23
1484.7109375,30.40258375618049,7.679732894534482,33.24146340042465,0.09141465781909919,1481.4351806640625,2024-07-24
1481.4351806640625,29.568671702109995,3.2991706513139434,33.7165238003944,0.09591233253446513,1497.9381103515625,2024-07-25
1497.9381103515625,39.25419999296603,1.1419926870646577,31.7010890565417,0.0988742838637329,1508.9317626953125,2024-07-26
1508.9317626953125,45.06136487622573,0.3133902576730634,31.148041002763893,0.10108412828490437,1502.03271484375,2024-07-29
1502.03271484375,42.14407558173379,-0.8882267572168985,30.76515451777644,0.10394095997377241,1494.364501953125,2024-07-30
1494.364501953125,38.91316716919862,-2.4296995206861993,29.180456238503535,0.10722929215420628,1504.1671142578125,2024-07-31
1504.1671142578125,45.119072279848275,-2.82949116007444,27.758832044895517,0.10911707057169413,1488.3092041015625,2024-08-01
1488.3092041015625,37.9269442685435,-4.372782227231937,27.147299886940896,0.11269726796957895,1436.6912841796875,2024-08-02
1436.6912841796875,23.723811119883734,-9.641596431027892,30.389371108945234,0.12312748380066825,1445.3524169921875,2024-08-05
1445.3524169921875,28.880236243194133,-12.969920274997094,30.339751918858774,0.12605516629696706,1454.062744140625,2024-08-06
1454.062744140625,34.053439640334645,-14.736009518401715,28.948248923130386,0.12649890773052042,1438.478271484375,2024-08-07
1438.478271484375,29.607384507451897,-17.19295809418327,27.6648922865737,0.12866655878681948,1463.46826171875,2024-08-08
1463.46826171875,43.30336234503729,-16.931284997553348,25.644130343176375,0.12521239077082658,1449.8936767578125,2024-08-09
1449.8936767578125,38.59658935884465,-17.61470524331662,23.786455414515558,0.11748468821550521,1452.8717041015625,2024-08-12
1452.8717041015625,40.24079624658473,-17.71209323502353,22.29570173123292,0.10524709418787426,1451.1097412109375,2024-08-13
1451.1097412109375,39.518393754123665,-17.726902424464924,21.934094337383417,0.09566108095905991,1467.339599609375,2024-08-14
1467.339599609375,49.20926920554051,-16.243141289111236,21.953586048436932,0.07570818124629748,1482.4791259765625,2024-08-16
1482.4791259765625,56.68015436546928,-13.68900638121022,22.42936173454635,0.06282954967227666,1489.9990234375,2024-08-19
1489.9990234375,60.04815364970005,-10.932573276515996,22.470324371550436,0.06286396569402217,1492.7132568359375,2024-08-20
1492.7132568359375,61.30119617327525,-8.432056458719217,22.891186110071658,0.06388149042823581,1492.1654052734375,2024-08-21
1492.1654052734375,60.85666652099534,-6.420547203177648,23.047445139621782,0.06449207111206619,1494.008056640625,2024-08-22
1494.008056640625,61.928098323010055,-4.624530334142037,22.424880092622725,0.06541716870983412,1506.5828857421875,2024-08-23
1506.5828857421875,68.67883869575198,-2.1622518648107416,19.3780244980341,0.06675005059939801,1494.481201171875,2024-08-26
1494.481201171875,57.3807560797865,-1.1732660408526954,18.236291820899883,0.06454109511170818,1492.33984375,2024-08-27
1492.33984375,55.51612803144565,-0.5557760192837122,18.099749519330835,0.06324640850610141,1514.874755859375,2024-08-28
1514.874755859375,68.10243022208111,1.7310439409143328,19.80647359693275,0.06680999796822049,1503.6197509765625,2024-08-29
1503.6197509765625,58.55479603143397,2.605578917963612,20.455148443642916,0.06672138123129859,1510.2183837890625,2024-08-30
1510.2183837890625,62.14495069681758,3.787203041501243,20.71702920913981,0.06955078835546359,1503.1217041015625,2024-09-02
